I am hungry | Éhes vagyok
you are going to be fine | minden rendben lesz veled
you are going to be happy | boldog leszel
you are going to be successful | sikeres leszel
he is going to call | fel fog hívni
he is going to visit | meg fog látogatni
he is going to help | segíteni fog
he is going to ask | meg fogja kérdezni
he is going to explain | el fogja magyarázni
he is going to show | meg fogja mutatni
he is going to tell | el fogja mondani
he is going to decide | dönteni fog
he is going to choose | választani fog
he is going to change his mind | meg fogja változtatni a véleményét
she is going to sing | énekelni fog
she is going to dance | táncolni fog
she is going to perform | előadni fog
she is going to travel | utazni fog
she is going to study | tanulni fog
she is going to work | dolgozni fog
she is going to relax | pihenni fog
she is going to sleep | aludni fog
she is going to wake up | fel fog ébredni
she is going to get ready | fel fog készülni
we are going to meet | találkozni fogunk
we are going to talk | beszélni fogunk
we are going to discuss | meg fogjuk vitatni
we are going to agree | egyet fogunk érteni
we are going to disagree | nem fogunk egyetérteni
we are going to decide | dönteni fogunk
we are going to plan | tervezni fogunk
we are going to organize | szervezni fogunk
we are going to celebrate | ünnepelni fogunk
we are going to succeed | sikert fogunk elérni
they are going to arrive | meg fognak érkezni
they are going to leave | el fognak menni
they are going to stay | maradni fognak
they are going to wait | várni fognak
they are going to help | segíteni fognak
they are going to support | támogatni fognak
they are going to build | építeni fognak
they are going to create | létrehozni fognak
they are going to improve | fejleszteni fognak
they are going to grow | növekedni fognak
it is going to rain | esni fog
it is going to snow | havazni fog
it is going to be cold | hideg lesz
it is going to be hot | meleg lesz
it is going to be sunny | sütni fog a nap
it is going to be cloudy | felhős lesz
it is going to be windy | szeles lesz
it is going to be okay | minden rendben lesz
it is going to be fine | jó lesz
it is going to be difficult | nehéz lesz
this is going to be fun | ez jó lesz
this is going to be great | ez nagyszerű lesz
this is going to be amazing | ez elképesztő lesz
this is going to be hard | ez nehéz lesz
this is going to be easy | ez könnyű lesz
this is going to take time | ez időbe fog telni
this is going to cost money | ez pénzbe fog kerülni
this is going to work | ez működni fog
this is going to change everything | ez mindent meg fog változtatni
this is going to be worth it | ez meg fogja érni
that is going to happen | az meg fog történni
that is going to be a problem | az probléma lesz
that is going to be a surprise | az meglepetés lesz
that is going to be difficult | az nehéz lesz
that is going to be easy | az könnyű lesz
that is going to be expensive | az drága lesz
that is going to be cheap | az olcsó lesz
that is going to be enough | az elég lesz
that is going to be too much | az túl sok lesz
that is going to be perfect | az tökéletes lesz
there is going to be a party | lesz egy buli
there is going to be a meeting | lesz egy megbeszélés
there is going to be a concert | lesz egy koncert
there is going to be a storm | lesz egy vihar
there is going to be trouble | baj lesz
there is going to be a change | változás lesz
there is going to be a surprise | meglepetés lesz
there is going to be a decision | döntés születik
there is going to be an announcement | bejelentés lesz
there is going to be a celebration | ünneplés lesz
I have never seen this | ezt még soha nem láttam
I have never heard that | azt még soha nem hallottam
I have never been there | ott még soha nem jártam
I have never done this | ezt még soha nem csináltam
I have never tried it | még soha nem próbáltam
I have never said that | azt még soha nem mondtam
I have never felt this way | így még soha nem éreztem
I have never been so happy | még soha nem voltam ilyen boldog
I have never been so scared | még soha nem voltam ilyen ijedt
I have never been so tired | még soha nem voltam ilyen fáradt
you have never listened | soha nem hallgattál
you have never asked | soha nem kérdezted
you have never told me | soha nem mondtad el nekem
you have never shown me | soha nem mutattad meg nekem
you have never tried | soha nem próbáltad
you have never given up | soha nem adtad fel
you have never failed | soha nem vallottál kudarcot
you have never been wrong | soha nem tévedtél
you have never been late | soha nem késtél el
you have never been afraid | soha nem féltél
he has never lied | soha nem hazudott
he has never cheated | soha nem csalt
he has never stolen | soha nem lopott
he has never hurt anyone | soha nem bántott senkit
he has never broken a promise | soha nem szegte meg az ígéretét
he has never forgotten | soha nem felejtette el
he has never missed a day | soha nem hagyott ki egy napot sem
he has never complained | soha nem panaszkodott
he has never given up | soha nem adta fel
he has never stopped trying | soha nem hagyta abba a próbálkozást
she has never cried | soha nem sírt
she has never laughed so hard | még soha nem nevetett ilyen jól
she has never been so angry | még soha nem volt ilyen mérges
she has never been so proud | még soha nem volt ilyen büszke
she has never been so nervous | még soha nem volt ilyen ideges
she has never traveled alone | még soha nem utazott egyedül
she has never driven a car | még soha nem vezetett autót
she has never flown before | még soha nem repült
she has never been in love | még soha nem volt szerelmes
she has never been married | még soha nem volt házas
we have never met before | még soha nem találkoztunk
we have never spoken | még soha nem beszéltünk
we have never agreed | még soha nem értettünk egyet
we have never disagreed | még soha nem értettünk egyet
we have never fought | még soha nem veszekedtünk
we have never left | még soha nem mentünk el
we have never returned | még soha nem tértünk vissza
we have never changed | még soha nem változtunk
we have never grown up | még soha nem felnőttünk
we have never looked back | még soha nem néztünk vissza
they have never arrived | még soha nem érkeztek meg
they have never left | még soha nem mentek el
they have never apologized | még soha nem kértek bocsánatot
they have never explained | még soha nem magyarázták el
they have never helped | még soha nem segítettek
they have never offered | még soha nem ajánlották fel
they have never refused | még soha nem utasították vissza
they have never accepted | még soha nem fogadták el
they have never changed | még soha nem változtak
they have never learned | még soha nem tanulták meg
it has never worked | soha nem működött
it has never failed | soha nem hibásodott meg
it has never been tested | soha nem lett tesztelve
it has never been used | soha nem lett használva
it has never been opened | soha nem lett kinyitva
it has never been closed | soha nem lett becsukva
it has never been cleaned | soha nem lett kitakarítva
it has never been fixed | soha nem lett megjavítva
it has never been replaced | soha nem lett kicserélve
it has never been enough | soha nem volt elég
this has never been done | ezt még soha nem csinálták
this has never been said | ezt még soha nem mondták
this has never been seen | ilyet még soha nem láttak
this has never been heard | ilyet még soha nem hallottak
this has never been tried | ezt még soha nem próbálták
this has never been possible | ez még soha nem volt lehetséges
this has never been easy | ez még soha nem volt könnyű
this has never been fair | ez még soha nem volt igazságos
this has never been right | ez még soha nem volt helyes
this has never been wrong | ez még soha nem volt helytelen
that has never happened | az még soha nem történt meg
that has never been true | az még soha nem volt igaz
that has never been proven | azt még soha nem bizonyították
that has never been a secret | az még soha nem volt titok
that has never been a problem | az még soha nem volt probléma
that has never been an issue | az még soha nem volt gond
that has never been discussed | azt még soha nem vitatták meg
that has never been decided | azt még soha nem döntötték el
that has never been enough | az még soha nem volt elég
that has never been too much | az még soha nem volt túl sok
there has never been a better time | még soha nem volt jobb időpont
there has never been a worse moment | még soha nem volt rosszabb pillanat
there has never been a doubt | soha nem volt kétség
there has never been a question | soha nem volt kérdés
there has never been a reason | soha nem volt ok
there has never been a need | soha nem volt rá szükség
there has never been a chance | soha nem volt esély
there has never been a way | soha nem volt rá mód
there has never been so much | még soha nem volt ilyen sok
there has never been so little | még soha nem volt ilyen kevés
I would like to go | szeretnék menni
I would like to stay | szeretnék maradni
I would like to help | szeretnék segíteni
I would like to know | szeretném tudni
I would like to ask | szeretnék kérdezni
I would like to say | szeretnék mondani
I would like to thank you | szeretném megköszönni
I would like to apologize | szeretnék bocsánatot kérni
I would like to explain | szeretném elmagyarázni
I would like to understand | szeretném megérteni
I would rather stay home | inkább otthon maradnék
I would rather go out | inkább kimennék
I would rather eat now | inkább most ennék
I would rather wait | inkább várnék
I would rather not | inkább nem
I would rather not talk about it | inkább nem beszélnék róla
I would rather be alone | inkább egyedül lennék
I would rather be with you | inkább veled lennék
I would rather do it myself | inkább magam csinálnám
I would rather not say | inkább nem mondanám
you would like this | ez neked tetszene
you would like it there | ott neked tetszene
